ateco_code,risk_level,description
20.59.60,alto,Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio RISCHIO
20.59.90,alto,Fabbricazione di altri prodotti chimici nca RISCHIO
20.60.00,alto,Fabbricazione di fibre sintetiche e artificiali RISCHIO
21.10.00,alto,Fabbricazione di prodotti farmaceutici di base RISCHIO
21.20.01,alto,Fabbricazione di sostanze diagnostiche radioattive in vivo RISCHIO
21.20.09,alto,Fabbricazione di medicinali ed altri preparati farmaceutici RISCHIO
22.11.10,alto,Fabbricazione di pneumatici e di camere d'aria RISCHIO
22.11.20,alto,Rigenerazione e ricostruzione di pneumatici RISCHIO
22.19.01,alto,Fabbricazione di suole di gomma e altre parti in gomma per calzature RISCHIO
22.19.09,alto,Fabbricazione di altri prodotti in gomma nca RISCHIO
22.21.00,alto,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche RISCHIO"
22.22.00,alto,Fabbricazione di imballaggi in materie plastiche RISCHIO
22.23.01,alto,"Fabbricazione di rivestimenti elastici per pavimenti (vinile, linoleum eccetera) RISCHIO"
22.23.02,alto,"Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia RISCHIO"
22.23.09,alto,Fabbricazione di altri articoli in plastica per l'edilizia RISCHIO
22.29.01,alto,Fabbricazione di parti in plastica per calzature RISCHIO
22.29.02,alto,Fabbricazione di oggetti per l'ufficio e la scuola in plastica RISCHIO
22.29.09,alto,Fabbricazione di altri articoli in materie plastiche nca RISCHIO
23.11.00,alto,Fabbricazione di vetro piano RISCHIO
23.12.00,alto,Lavorazione e trasformazione del vetro piano RISCHIO
23.13.00,alto,Fabbricazione di vetro cavo RISCHIO
23.14.00,alto,Fabbricazione di fibre di vetro RISCHIO
23.19.10,alto,"Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia RISCHIO"
23.19.20,alto,Lavorazione di vetro a mano e a soffio artistico RISCHIO
23.19.90,alto,Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica) RISCHIO
23.20.00,alto,Fabbricazione di prodotti refrattari RISCHIO
23.31.00,alto,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti RISCHIO
23.32.00,alto,"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta RISCHIO"
23.41.00,alto,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali RISCHIO
23.42.00,alto,Fabbricazione di articoli sanitari in ceramica RISCHIO
23.43.00,alto,Fabbricazione di isolatori e di pezzi isolanti in ceramica RISCHIO
23.44.00,alto,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale RISCHIO
23.49.00,alto,Fabbricazione di altri prodotti in ceramica RISCHIO
23.51.00,alto,Produzione di cemento RISCHIO
23.52.10,alto,Produzione di calce RISCHIO
23.52.20,alto,Produzione di gesso RISCHIO
23.61.00,alto,Fabbricazione di prodotti in calcestruzzo per l'edilizia RISCHIO
23.62.00,alto,Fabbricazione di prodotti in gesso per l'edilizia RISCHIO
23.63.00,alto,Produzione di calcestruzzo pronto per l'uso RISCHIO
23.64.00,alto,Produzione di malta RISCHIO
23.65.00,alto,Fabbricazione di prodotti in fibrocemento RISCHIO
23.69.00,alto,"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento RISCHIO"
23.70.10,alto,Segagione e lavorazione delle pietre e del marmo RISCHIO
23.70.20,alto,"Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico RISCHIO"
23.70.30,alto,Frantumazione di pietre e minerali vari non in connessione con l'estrazione RISCHIO
23.91.00,alto,Produzione di prodotti abrasivi RISCHIO
23.99.00,alto,Fabbricazione di altri prodotti in minerali non metalliferi nca RISCHIO
24.10.00,alto,"Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe RISCHIO"
24.20.10,alto,Fabbricazione di tubi e condotti senza saldatura RISCHIO
24.20.20,alto,Fabbricazione di tubi e condotti saldati e simili RISCHIO
24.31.00,alto,Stiratura a freddo di barre RISCHIO
24.32.00,alto,Laminazione a freddo di nastri RISCHIO
24.33.01,alto,Fabbricazione di pannelli stratificati in acciaio RISCHIO
24.33.02,alto,Profilatura mediante formatura o piegatura a freddo RISCHIO
24.34.00,alto,Trafilatura a freddo RISCHIO
24.41.00,alto,Produzione di metalli preziosi e semilavorati RISCHIO
24.42.00,alto,Produzione di alluminio e semilavorati RISCHIO
24.43.00,alto,"Produzione di piombo, zinco e stagno e semilavorati RISCHIO"
24.44.00,alto,Produzione di rame e semilavorati RISCHIO
24.45.00,alto,Produzione di altri metalli non ferrosi e semilavorati RISCHIO
24.46.00,alto,Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio) RISCHIO
24.51.00,alto,Fusione di ghisa e produzione di tubi e raccordi in ghisa RISCHIO
24.52.00,alto,Fusione di acciaio RISCHIO
24.53.00,alto,Fusione di metalli leggeri RISCHIO
24.54.00,alto,Fusione di altri metalli non ferrosi RISCHIO
25.11.00,alto,Fabbricazione di strutture metalliche e parti assemblate di strutture RISCHIO
25.12.10,alto,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici RISCHIO"
25.12.20,alto,"Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e RISCHIO"
25.21.00,alto,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento RISCHIO
25.40.00,alto,Fabbricazione di armi e munizioni RISCHIO
25.50.00,alto,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle RISCHIO"
25.61.00,alto,Trattamento e rivestimento dei metalli RISCHIO
25.62.00,alto,Lavori di meccanica generale RISCHIO
25.71.00,alto,"Fabbricazione di articoli di coltelleria, posateria ed armi bianche RISCHIO"
25.72.00,alto,Fabbricazione di serrature e cerniere e ferramenta simili RISCHIO
25.73.11,alto,Fabbricazione di utensileria ad azionamento manuale RISCHIO
25.73.12,alto,Fabbricazione di parti intercambiabili per macchine utensili RISCHIO
25.73.20,alto,"Fabbricazione di stampi, portastampi, sagome, forme per macchine RISCHIO"
25.91.00,alto,Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e RISCHIO
25.92.00,alto,Fabbricazione di imballaggi leggeri in metallo RISCHIO
25.93.10,alto,Fabbricazione di prodotti fabbricati con fili metallici RISCHIO
25.93.20,alto,Fabbricazione di molle RISCHIO
25.93.30,alto,Fabbricazione di catene fucinate senza saldatura e stampate RISCHIO
25.94.00,alto,Fabbricazione di articoli di bulloneria RISCHIO
25.99.11,alto,Fabbricazione di caraffe e bottiglie isolate in metallo RISCHIO
25.99.20,alto,"Fabbricazione di casseforti, forzieri e porte metalliche blindate RISCHIO"
25.99.30,alto,"Fabbricazione di oggetti in ferro, in rame ed altri metalli RISCHIO"
25.99.91,alto,Fabbricazione di magneti metallici permanenti RISCHIO
25.99.99,alto,Fabbricazione di altri articoli metallici e minuteria metallica nca RISCHIO
26.11.01,alto,"Fabbricazione di diodi, transistor e relativi congegni elettronici RISCHIO"
26.11.09,alto,Fabbricazione di altri componenti elettronici RISCHIO
26.12.00,alto,Fabbricazione di schede elettroniche assemblate RISCHIO
26.20.00,alto,Fabbricazione di computer e unità periferiche RISCHIO
26.30.10,alto,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere) RISCHIO
26.30.21,alto,Fabbricazione di sistemi antifurto e antincendio RISCHIO
26.30.29,alto,Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni RISCHIO
26.40.01,alto,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle RISCHIO
26.40.02,alto,Fabbricazione di console per videogiochi (esclusi i giochi elettronici) RISCHIO
26.51.10,alto,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia RISCHIO"
26.51.21,alto,generatori d'impulso e metal detector RISCHIO
26.52.00,alto,Fabbricazione di orologi RISCHIO
26.60.01,alto,Fabbricazione di apparecchiature di irradiazione per alimenti e latte RISCHIO
26.60.02,alto,Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori) RISCHIO
26.70.11,alto,Fabbricazione di elementi ottici e strumenti ottici di precisione RISCHIO
26.70.12,alto,Fabbricazione di attrezzature ottiche di misurazione e controllo RISCHIO
26.70.20,alto,Fabbricazione di apparecchiature fotografiche e cinematografiche RISCHIO
26.80.00,alto,Fabbricazione di supporti magnetici ed ottici RISCHIO
27.11.00,alto,"Fabbricazione di motori, generatori e trasformatori elettrici RISCHIO"
27.12.00,alto,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo RISCHIO
27.20.00,alto,Fabbricazione di batterie di pile ed accumulatori elettrici RISCHIO
27.31.01,alto,Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini RISCHIO
27.31.02,alto,Fabbricazione di fibre ottiche RISCHIO
27.32.00,alto,Fabbricazione di altri fili e cavi elettrici ed elettronici RISCHIO
27.33.01,alto,Fabbricazione di apparecchiature in plastica non conduttiva RISCHIO
27.33.09,alto,Fabbricazione di altre attrezzature per cablaggio RISCHIO
27.40.01,alto,Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di RISCHIO
27.40.09,alto,Fabbricazione di altre apparecchiature per illuminazione RISCHIO
27.51.00,alto,Fabbricazione di elettrodomestici RISCHIO
27.52.00,alto,Fabbricazione di apparecchi per uso domestico non elettrici RISCHIO
27.90.01,alto,Fabbricazione di apparecchiature elettriche per saldature e brasature RISCHIO
27.90.02,alto,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione RISCHIO
27.90.03,alto,"Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori RISCHIO"
27.90.09,alto,Fabbricazione di altre apparecchiature elettriche nca RISCHIO
28.11.20,alto,Fabbricazione di turbine e turboalternatori (incluse parti e accessori) RISCHIO
28.12.00,alto,Fabbricazione di apparecchiature fluidodinamiche RISCHIO
28.13.00,alto,Fabbricazione di altre pompe e compressori RISCHIO
28.14.00,alto,Fabbricazione di altri rubinetti e valvole RISCHIO
28.15.20,alto,Fabbricazione di cuscinetti a sfere RISCHIO
28.21.10,alto,"Fabbricazione di forni, fornaci e bruciatori RISCHIO"
28.21.21,alto,Fabbricazione di caldaie per riscaldamento RISCHIO
28.21.29,alto,Fabbricazione di altri sistemi per riscaldamento RISCHIO
28.22.01,alto,"Fabbricazione di ascensori, montacarichi e scale mobili RISCHIO"
28.22.03,alto,Fabbricazione di carriole RISCHIO
28.22.09,alto,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione RISCHIO
28.23.01,alto,Fabbricazione di cartucce toner RISCHIO
28.23.09,alto,Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e RISCHIO
28.24.00,alto,Fabbricazione di utensili portatili a motore RISCHIO
28.29.91,alto,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non RISCHIO
28.29.92,alto,Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non RISCHIO
28.29.99,alto,Fabbricazione di altro materiale meccanico e di altre macchine di impiego RISCHIO
28.30.10,alto,Fabbricazione di trattori agricoli RISCHIO
28.30.90,alto,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia RISCHIO"
28.49.01,alto,Fabbricazione di macchine per la galvanostegia RISCHIO
28.49.09,alto,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca RISCHIO
28.91.00,alto,Fabbricazione di macchine per la metallurgia (incluse parti e accessori) RISCHIO
28.92.09,alto,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e RISCHIO"
28.95.00,alto,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e RISCHIO
28.99.20,alto,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori) RISCHIO
28.99.30,alto,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere RISCHIO
28.99.92,alto,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento RISCHIO"
29.10.00,alto,Fabbricazione di autoveicoli RISCHIO
29.20.00,alto,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi RISCHIO"
29.31.00,alto,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro RISCHIO
29.32.01,alto,Fabbricazione di sedili per autoveicoli RISCHIO
29.32.09,alto,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca RISCHIO
30.11.01,alto,Fabbricazione di sedili per navi RISCHIO
30.11.02,alto,Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per RISCHIO
30.12.00,alto,Costruzione di imbarcazioni da diporto e sportive RISCHIO
30.20.01,alto,"Fabbricazione di sedili per tram, filovie e metropolitane RISCHIO"
30.30.01,alto,Fabbricazione di sedili per aeromobili RISCHIO
30.30.02,alto,Fabbricazione di missili balistici RISCHIO
30.30.09,alto,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca RISCHIO"
30.40.00,alto,Fabbricazione di veicoli militari da combattimento RISCHIO
30.91.11,alto,Fabbricazione di motori per motocicli RISCHIO
30.91.12,alto,Fabbricazione di motocicli RISCHIO
30.91.20,alto,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori RISCHIO
30.92.10,alto,Fabbricazione e montaggio di biciclette RISCHIO
30.92.20,alto,Fabbricazione di parti ed accessori per biciclette RISCHIO
30.92.30,alto,Fabbricazione di veicoli per invalidi (incluse parti e accessori) RISCHIO
30.92.40,alto,Fabbricazione di carrozzine e passeggini per neonati RISCHIO
30.99.00,alto,Fabbricazione di veicoli a trazione manuale o animale RISCHIO
31.01.10,alto,Fabbricazione di sedie e poltrone per ufficio e negozi RISCHIO
31.01.21,alto,Fabbricazione di altri mobili metallici per ufficio e negozi RISCHIO
31.01.22,alto,Fabbricazione di altri mobili non metallici per ufficio e negozi RISCHIO
31.02.00,alto,Fabbricazione di mobili per cucina RISCHIO
31.03.00,alto,Fabbricazione di materassi RISCHIO
31.09.10,alto,Fabbricazione di mobili per arredo domestico RISCHIO
31.09.30,alto,Fabbricazione di poltrone e divani RISCHIO
31.09.40,alto,Fabbricazione di parti e accessori di mobili RISCHIO
31.09.50,alto,Finitura di mobili RISCHIO
31.09.90,alto,Fabbricazione di altri mobili (inclusi quelli per arredo esterno) RISCHIO
